code,trans_type
010000000,消费授权
010000060,追加授权
01000010003,预借现金
010000306,预授权
010000360,预授权
010002000,消费授权
010002006,预授权撤销
01000200612,预授权撤销
01000270003,预借现金撤销
010003000,余额查询
010003000,余额查询
01000619110,基于PBOC电子钱包/存折标准的IC卡圈提
010009000,建立委托关系
010009100,撤销委托关系
012010000,授权交易的代授权通知
012010060,授权交易的代授权通知
012010306,预授权的代授权
012010360,预授权的代授权
012012000,授权撤销的代授权通知
012012006,预授权撤销代授权
01201200612,预授权撤销代授权
020000000,消费
020000006,预授权完成
02000010003,取现
02000010006,取现
02000010013,取现
02000010201,取现
02000170003,存款撤销
02000170006,存款撤销
02000180003,代付撤销
02000180006,代付撤销
020001981,代收
020002000,消费
02000200003,退货
020002006,预授权完成撤销
02000210002,存款
02000210003,存款
02000210006,存款
02000280003,代付
02000280006,代付
020003000,余额查询
02000300201,余额查询
020004000,转账
020004600,转账
020004700,转账
02000609110,基于PBOC电子钱包/存折标准的IC卡指定账户圈存
02000619110,基于PBOC电子钱包/存折标准的IC卡圈提确认
02000629110,基于PBOC电子钱包/存折标准的IC卡非指定账户圈存
02000639110,基于PBOC电子钱包/存折标准的IC卡现金充值
02000649110,基于PBOC电子钱包/存折标准的IC卡非指定账户圈存
02000659110,基于PBOC电子钱包/存折标准的IC卡非指定账户圈存
02200000000,消费的代授权通知
#022000006,结算通知
022000006,预授权完成
02200000612,预授权完成
02200200003,退货
02200200007,退货
02200200012,退货
02200210002,存款确认
02200210003,存款确认
02200210006,存款确认
022004700,转入确认
#022010006,预授权完成(离线)的代授权通知
022010006,预授权完成的代授权
022010006,预授权完成的代授权
02201010003,取现交易的代授权通知
02201010006,取现交易的代授权通知
02201010201,取现交易的代授权通知
022012000,消费撤销的代授权通知
022012006,预授权完成撤销的代授权
022020200,请款
022020213,再请款
022020217,退单
022020241,二次退单
0220213,再请款
0220217,退单
022021900,收/付费
022022200,普通交易贷记调整
022022282,差错例外
022022283,存款的贷记调整
#022022283,转账的贷记调整
#022022283,转账的贷记调整
022022900,收/付费
0220301,线路测试
042000000,消费冲正
#042000000,消费授权冲正
042000006,预授权完成冲正
042000060,预借现金冲正
04200010003,取现冲正
#04200010003,预借现金冲正
04200010006,取现冲正
04200010013,取现冲正
04200010201,取现冲正
042000306,预授权冲正
042000360,预授权冲正
04200170003,存款撤销冲正
04200170006,存款撤销冲正
04200180003,代付撤销冲正
042001981,代收冲正
042002000,消费
#042002000,消费授权
042002006,预授权撤销冲正
#042002006,预授权完成撤销冲正
04200200612,预授权撤销冲正
04200270003,预借现金撤销冲正
04200280003,代付冲正
04200280006,代付冲正
042004600,转出冲正
04200609110,基于PBOC电子钱包/存折标准的IC卡指定账户圈存
04200629110,基于PBOC电子钱包/存折标准的IC卡非指定账户圈存
04200639110,基于PBOC电子钱包/存折标准的IC卡现金充值
04200649110,基于PBOC电子钱包/存折标准的IC卡非指定账户圈存
042010000,授权冲正的代授权通知
042010000,消费冲正的代授权通知
042010006,预授权完成冲正的代授权
04201010003,取现冲正
04201010006,取现冲正
04201010201,取现冲正
042010306,预授权冲正代授权
042010360,预授权冲正代授权
042012000,授权撤销冲正的代授权通知
#042012000,消费撤销冲正的代授权通知
042012006,预授权撤销冲正代授权
#042012006,预授权完成撤销冲正的代授权
04201200612,预授权撤销冲正代授权
042220200,请款
042220213,再请款
042220217,退单
042220241,二次退单
0422213,再请款
0422217,退单
042222200,普通交易贷记调整
042222282,差错例外
042222283,存款的贷记调整
0520270,对账
0520271,对账
0520272,对账
0520273,对账
0522270,对账
0522271,对账
0522272,对账
0522273,对账
0620280,资金结算
0620800,文字信息发送
0620801,文字信息发送
0620802,风险控制
0620803,风险控制
0800078,代授权通知的索取
0800079,终止索取
0800090,对账
0800101,重置密钥
0802002,签退
0820001,打开入网机构
0820001,签到
0820002,关闭入网机构
0820101,重置密钥
0820201,日切通知
0820202,日切通知
